frame,vector
0,"[[0.5160951614379883, 0.4696890711784363, -0.033075328916311264], [0.4702388644218445, 0.34367772936820984, -0.022839410230517387], [0.41723817586898804, 0.309518426656723, -0.04059791937470436], [0.3801141679286957, 0.32262519001960754, -0.061372850090265274], [0.32673439383506775, 0.38815513253211975, -0.06804724782705307]]"
1,"[[0.5182006359100342, 0.47337836027145386, -0.032276857644319534], [0.47281938791275024, 0.3427373766899109, -0.021900884807109833], [0.42381736636161804, 0.3059464693069458, -0.03674706816673279], [0.3814423978328705, 0.3224652409553528, -0.05398021265864372], [0.33035558462142944, 0.3873152732849121, -0.06021621450781822]]"
2,"[[0.5242246389389038, 0.4726411700248718, -0.03226744383573532], [0.4753522276878357, 0.3438951373100281, -0.023175563663244247], [0.4279334247112274, 0.3069474399089813, -0.03937724605202675], [0.3833298087120056, 0.3229452073574066, -0.05719287693500519], [0.3329722583293915, 0.38609135150909424, -0.0640658289194107]]"
3,"[[0.5230935215950012, 0.4730736017227173, -0.033522769808769226], [0.47526127099990845, 0.3443915843963623, -0.02229337766766548], [0.4272439479827881, 0.3092067241668701, -0.0367896743118763], [0.3836759924888611, 0.3245135545730591, -0.05402916297316551], [0.3322180211544037, 0.38828766345977783, -0.05992445349693298]]"
4,"[[0.5240602493286133, 0.4756896197795868, -0.03392017260193825], [0.477918803691864, 0.344840407371521, -0.024682853370904922], [0.4286893606185913, 0.30849891901016235, -0.03918830677866936], [0.38449275493621826, 0.3242352306842804, -0.056685272604227066], [0.3332175314426422, 0.38974666595458984, -0.06283075362443924]]"
5,"[[0.5244607925415039, 0.47572487592697144, -0.03066418133676052], [0.4780869483947754, 0.3435153663158417, -0.0209965817630291], [0.4282812476158142, 0.31041061878204346, -0.03562820330262184], [0.3851582705974579, 0.32485342025756836, -0.05393417552113533], [0.33318960666656494, 0.3884578347206116, -0.060962654650211334]]"
6,"[[0.5263366103172302, 0.47428205609321594, -0.03403982147574425], [0.47913333773612976, 0.34201234579086304, -0.027602452784776688], [0.4299813508987427, 0.30660855770111084, -0.042587488889694214], [0.3844000995159149, 0.32178136706352234, -0.0608324259519577], [0.3331409692764282, 0.3895578384399414, -0.06694144010543823]]"
7,"[[0.5266410112380981, 0.4775926470756531, -0.03719368577003479], [0.47782206535339355, 0.34399741888046265, -0.027357913553714752], [0.4307648539543152, 0.31076353788375854, -0.04119573533535004], [0.38495934009552, 0.32391250133514404, -0.05973871424794197], [0.3328476548194885, 0.3897761106491089, -0.06629795581102371]]"
8,"[[0.5238967537879944, 0.47527840733528137, -0.03593701496720314], [0.476015567779541, 0.3396868407726288, -0.024638932198286057], [0.425403356552124, 0.3090073764324188, -0.0371844582259655], [0.3836398124694824, 0.32429641485214233, -0.05508160963654518], [0.33020082116127014, 0.39037221670150757, -0.06079336255788803]]"
9,"[[0.5270178318023682, 0.47648125886917114, -0.03450557217001915], [0.47923198342323303, 0.34225916862487793, -0.025355761870741844], [0.4323265552520752, 0.30919215083122253, -0.03889646753668785], [0.3861124515533447, 0.3216872215270996, -0.057734906673431396], [0.33351612091064453, 0.39032965898513794, -0.06331165879964828]]"
10,"[[0.5264579653739929, 0.4760092794895172, -0.037701331079006195], [0.47840383648872375, 0.3410721719264984, -0.028059283271431923], [0.4298914670944214, 0.3073180019855499, -0.04134783893823624], [0.38493579626083374, 0.3215925991535187, -0.05977645143866539], [0.33223432302474976, 0.3901705741882324, -0.06519220769405365]]"
11,"[[0.5287609100341797, 0.4762902855873108, -0.03972747549414635], [0.48049962520599365, 0.3409315347671509, -0.03180062025785446], [0.43201112747192383, 0.30877771973609924, -0.0449046716094017], [0.38620617985725403, 0.3219474256038666, -0.06361667811870575], [0.3340947926044464, 0.39028388261795044, -0.06910906732082367]]"
12,"[[0.5286054611206055, 0.47798779606819153, -0.030998293310403824], [0.4798804819583893, 0.34126463532447815, -0.018825741484761238], [0.43239834904670715, 0.30891096591949463, -0.03214084729552269], [0.38650959730148315, 0.3215465545654297, -0.0519232451915741], [0.33323967456817627, 0.3910512626171112, -0.05796373263001442]]"
13,"[[0.5283989906311035, 0.47693270444869995, -0.03596723824739456], [0.4810732305049896, 0.34085768461227417, -0.028023824095726013], [0.43281760811805725, 0.30837199091911316, -0.04167256876826286], [0.3866731822490692, 0.32178953289985657, -0.0609419122338295], [0.33402326703071594, 0.3904760479927063, -0.06696145981550217]]"
14,"[[0.5301437973976135, 0.4777378737926483, -0.04299550503492355], [0.48264122009277344, 0.34118780493736267, -0.03175116702914238], [0.4343300759792328, 0.30977773666381836, -0.04306020960211754], [0.38853657245635986, 0.32219797372817993, -0.06081325560808182], [0.333945095539093, 0.39069703221321106, -0.06542150676250458]]"
15,"[[0.5068172216415405, 0.4673134684562683, -0.061474476009607315], [0.4843471348285675, 0.551314651966095, -0.007210968993604183], [0.45257309079170227, 0.5641005635261536, -0.047023892402648926], [0.4194340109825134, 0.5729700326919556, -0.05470641329884529], [0.39149758219718933, 0.574052631855011, -0.06113440543413162]]"
16,"[[0.4950023889541626, 0.4830596446990967, -0.03467763960361481], [0.4776231646537781, 0.5754368901252747, -0.0015907621709629893], [0.44777190685272217, 0.587623655796051, -0.022684656083583832], [0.4217074513435364, 0.6067950129508972, -0.031303565949201584], [0.394739031791687, 0.6143946647644043, -0.040606789290905]]"
17,"[[0.4963698089122772, 0.48432448506355286, -0.03694818541407585], [0.47574296593666077, 0.5717488527297974, -0.004362423904240131], [0.4455164074897766, 0.5851317644119263, -0.023074088618159294], [0.4199841320514679, 0.6063843369483948, -0.03108469396829605], [0.3931610584259033, 0.6154485940933228, -0.04030471667647362]]"
18,"[[0.4966210722923279, 0.48074617981910706, -0.03862374275922775], [0.476870059967041, 0.5725358128547668, -0.0038924990221858025], [0.4467906653881073, 0.5858102440834045, -0.023691147565841675], [0.4212954044342041, 0.6068487167358398, -0.03185594081878662], [0.3942496180534363, 0.6153556704521179, -0.04123830422759056]]"
19,"[[0.49844661355018616, 0.4571571350097656, -0.04560444876551628], [0.48331695795059204, 0.56104975938797, -0.007725420407950878], [0.447396457195282, 0.5933666229248047, -0.033401113003492355], [0.419472336769104, 0.6108137965202332, -0.03772492706775665], [0.39315876364707947, 0.6150182485580444, -0.04404996335506439]]"
20,"[[0.523434042930603, 0.4729132056236267, -0.07215685397386551], [0.48291611671447754, 0.45013219118118286, -0.03789842128753662], [0.4468333423137665, 0.4025326371192932, -0.07477066665887833], [0.41246259212493896, 0.40593498945236206, -0.09257807582616806], [0.36891525983810425, 0.4318680465221405, -0.09221690893173218]]"
21,"[[0.5271449089050293, 0.5051368474960327, -0.056652478873729706], [0.4809950888156891, 0.45527875423431396, -0.038685671985149384], [0.4484912157058716, 0.4148976504802704, -0.06137971580028534], [0.4146175980567932, 0.39502429962158203, -0.07578032463788986], [0.37415212392807007, 0.4155876636505127, -0.07740963250398636]]"
22,"[[0.49355700612068176, 0.437825083732605, -0.04640503600239754], [0.4230831563472748, 0.5328165888786316, -0.00919642485678196], [0.3976350426673889, 0.5343252420425415, -0.04078977555036545], [0.37249335646629333, 0.53093022108078, -0.04082658886909485], [0.3522752523422241, 0.509342610836029, -0.035646289587020874]]"
23,"[[0.47648632526397705, 0.41316738724708557, -0.048907868564128876], [0.40872493386268616, 0.5108007192611694, -0.023479493334889412], [0.38508960604667664, 0.5208213329315186, -0.04944843798875809], [0.36506378650665283, 0.5200113654136658, -0.04830794408917427], [0.3465167284011841, 0.4969630837440491, -0.04391457512974739]]"
