frame,vector
0,"[[0.2800726890563965, 0.6282179355621338, -0.07688251882791519], [0.3042474091053009, 0.4976416230201721, -0.06894119828939438], [0.27970054745674133, 0.4725536108016968, -0.0699150562286377], [0.24943749606609344, 0.4839025139808655, -0.07535762339830399], [0.21840086579322815, 0.5287003517150879, -0.07169927656650543]]"
1,"[[0.2800726890563965, 0.6282179355621338, -0.07688251882791519], [0.3042474091053009, 0.4976416230201721, -0.06894119828939438], [0.27970054745674133, 0.4725536108016968, -0.0699150562286377], [0.24943749606609344, 0.4839025139808655, -0.07535762339830399], [0.21840086579322815, 0.5287003517150879, -0.07169927656650543]]"
2,"[[0.2800726890563965, 0.6282179355621338, -0.07688251882791519], [0.3042474091053009, 0.4976416230201721, -0.06894119828939438], [0.27970054745674133, 0.4725536108016968, -0.0699150562286377], [0.24943749606609344, 0.4839025139808655, -0.07535762339830399], [0.21840086579322815, 0.5287003517150879, -0.07169927656650543]]"
3,"[[0.2800726890563965, 0.6282179355621338, -0.07688251882791519], [0.3042474091053009, 0.4976416230201721, -0.06894119828939438], [0.27970054745674133, 0.4725536108016968, -0.0699150562286377], [0.24943749606609344, 0.4839025139808655, -0.07535762339830399], [0.21840086579322815, 0.5287003517150879, -0.07169927656650543]]"
4,"[[0.2800726890563965, 0.6282179355621338, -0.07688251882791519], [0.3042474091053009, 0.4976416230201721, -0.06894119828939438], [0.27970054745674133, 0.4725536108016968, -0.0699150562286377], [0.24943749606609344, 0.4839025139808655, -0.07535762339830399], [0.21840086579322815, 0.5287003517150879, -0.07169927656650543]]"
5,"[[0.2800726890563965, 0.6282179355621338, -0.07688251882791519], [0.3042474091053009, 0.4976416230201721, -0.06894119828939438], [0.27970054745674133, 0.4725536108016968, -0.0699150562286377], [0.24943749606609344, 0.4839025139808655, -0.07535762339830399], [0.21840086579322815, 0.5287003517150879, -0.07169927656650543]]"
6,"[[0.2800726890563965, 0.6282179355621338, -0.07688251882791519], [0.3042474091053009, 0.4976416230201721, -0.06894119828939438], [0.27970054745674133, 0.4725536108016968, -0.0699150562286377], [0.24943749606609344, 0.4839025139808655, -0.07535762339830399], [0.21840086579322815, 0.5287003517150879, -0.07169927656650543]]"
7,"[[0.2829205095767975, 0.6307091116905212, -0.06420519948005676], [0.3026573359966278, 0.49925166368484497, -0.0552300401031971], [0.2776855230331421, 0.4720191955566406, -0.058167826384305954], [0.2504384219646454, 0.4854716658592224, -0.06645271927118301], [0.2189793735742569, 0.5280457139015198, -0.06596211344003677]]"
8,"[[0.2829205095767975, 0.6307091116905212, -0.06420519948005676], [0.3026573359966278, 0.49925166368484497, -0.0552300401031971], [0.2776855230331421, 0.4720191955566406, -0.058167826384305954], [0.2504384219646454, 0.4854716658592224, -0.06645271927118301], [0.2189793735742569, 0.5280457139015198, -0.06596211344003677]]"
9,"[[0.2829205095767975, 0.6307091116905212, -0.06420519948005676], [0.3026573359966278, 0.49925166368484497, -0.0552300401031971], [0.2776855230331421, 0.4720191955566406, -0.058167826384305954], [0.2504384219646454, 0.4854716658592224, -0.06645271927118301], [0.2189793735742569, 0.5280457139015198, -0.06596211344003677]]"
